"experiment_id","subnetwork_id","role","node_id","source_id","esinr_db","kl_distance"
"19","2","Member","9","1","7.51","2.2190"
"19","2","Member","6","1","7.30","1.5803"
"19","3","Anchor","15","3","9.64","0.0000"
"19","3","Member","14","3","9.07","1.4158"
"19","3","Member","18","3","8.63","1.3790"
"19","3","Member","17","3","7.78","1.9267"
"20","1","Anchor","12","1","11.29","0.0000"
"20","1","Member","13","1","9.00","0.8802"
"20","1","Member","9","1","9.92","1.6800"
"20","1","Member","6","1","10.73","1.0640"
"20","2","Anchor","15","3","10.36","0.0000"
"20","2","Member","18","3","9.55","1.8322"
"20","2","Member","14","3","8.56","0.6790"
"20","2","Member","17","3","7.67","0.8855"
"20","3","Anchor","5","2","9.36","0.0000"
"20","3","Member","8","2","7.30","2.0930"
"20","3","Member","7","2","7.05","1.3055"
"21","1","Anchor","15","3","10.89","0.0000"
"21","1","Member","18","3","10.01","1.7483"
"21","1","Member","17","3","8.67","2.3363"
"21","1","Member","14","3","9.92","1.2740"
"21","2","Anchor","12","1","10.16","0.0000"
"21","2","Member","13","1","7.53","1.7010"
"21","2","Member","9","1","8.98","1.2145"
"21","2","Member","6","1","7.80","1.3860"
"21","3","Anchor","5","2","9.35","0.0000"
"21","3","Member","7","2","8.57","1.4647"
"21","3","Member","8","2","8.36","2.4640"
"22","1","Anchor","12","1","11.45","0.0000"
"22","1","Member","6","1","9.23","0.9835"
"22","1","Member","9","1","10.88","1.0745"
"22","2","Anchor","5","2","10.32","0.0000"
"22","2","Member","7","2","8.77","2.6215"
"22","2","Member","8","2","9.61","2.1157"
"22","3","Anchor","15","3","9.39","0.0000"
"22","3","Member","18","3","8.62","1.0797"
"22","3","Member","14","3","7.76","1.1218"
"22","3","Member","17","3","8.16","2.6583"
"23","1","Anchor","12","1","11.61","0.0000"
"23","1","Member","9","1","10.22","1.3615"
"23","1","Member","13","1","9.59","1.1725"
"23","1","Member","6","1","10.30","1.1603"
"23","2","Anchor","5","2","10.44","0.0000"
"23","2","Member","7","2","8.93","1.7430"
"23","2","Member","8","2","8.64","1.0745"
"23","3","Anchor","15","3","9.52","0.0000"
"23","3","Member","17","3","8.48","0.9083"
"23","3","Member","18","3","7.74","2.0300"
"23","3","Member","14","3","7.16","1.6258"
"24","1","Anchor","15","3","11.11","0.0000"
"24","1","Member","14","3","9.02","0.7560"
"24","1","Member","18","3","10.57","2.7230"
"24","1","Member","17","3","6.46","1.0150"
"24","2","Anchor","12","1","10.35","0.0000"
"24","2","Member","6","1","8.58","1.6835"
"24","2","Member","13","1","9.11","1.3947"
"24","2","Member","9","1","8.56","1.3335"
"24","3","Anchor","5","2","9.49","0.0000"
"24","3","Member","8","2","8.76","0.7123"
"24","3","Member","7","2","7.38","2.1700"
"25","1","Anchor","5","2","11.22","0.0000"
"25","1","Member","8","2","9.89","1.0710"
"25","1","Member","4","2","8.95","2.1490"
"25","1","Member","7","2","9.37","2.8367"
"25","2","Anchor","12","1","10.24","0.0000"
"25","2","Member","9","1","6.59","2.1787"
"25","2","Member","6","1","8.09","2.5533"
"25","3","Anchor","15","3","9.22","0.0000"
"25","3","Member","14","3","7.93","0.8802"
"25","3","Member","17","3","6.53","1.2285"
"25","3","Member","18","3","7.30","0.6913"
"26","1","Anchor","15","3","11.15","0.0000"
"26","1","Member","17","3","7.61","2.7265"
"26","1","Member","18","3","9.56","2.8350"
"26","1","Member","14","3","9.06","2.0457"
"26","2","Anchor","5","2","10.03","0.0000"
"26","2","Member","7","2","9.07","1.7640"
"26","2","Member","8","2","8.78","1.5383"
"26","3","Anchor","12","1","8.93","0.0000"
"26","3","Member","6","1","7.21","1.0955"
"26","3","Member","13","1","8.37","2.7842"
"26","3","Member","9","1","6.86","1.7342"
"27","1","Anchor","5","2","10.97","0.0000"
"27","1","Member","7","2","8.91","1.9390"
"27","1","Member","8","2","10.02","1.9915"
"27","2","Anchor","15","3","9.96","0.0000"
"27","2","Member","18","3","8.11","1.2005"
"27","2","Member","14","3","7.92","2.1315"
"27","2","Member","17","3","6.77","2.7650"
"27","3","Anchor","12","1","8.92","0.0000"
"27","3","Member","9","1","8.08","1.4280"
"27","3","Member","13","1","7.50","0.8960"
"27","3","Member","6","1","7.13","2.1368"
"28","1","Anchor","12","1","11.13","0.0000"
"28","1","Member","6","1","8.55","2.5533"
"28","1","Member","9","1","9.87","2.7160"
"28","2","Anchor","15","3","10.24","0.0000"
"28","2","Member","18","3","8.49","0.7105"
"28","2","Member","17","3","7.95","0.8890"
"28","2","Member","14","3","9.28","1.9303"
"28","3","Anchor","5","2","9.32","0.0000"
"28","3","Member","8","2","7.57","0.6230"
"28","3","Member","7","2","8.37","1.3142"
"28","3","Member","4","2","6.77","2.7615"
"29","1","Anchor","12","1","11.44","0.0000"
"29","1","Member","6","1","10.45","1.5330"
"29","1","Member","9","1","6.48","0.9065"
"29","1","Member","13","1","9.34","2.4482"
"29","2","Anchor","15","3","10.65","0.0000"
"29","2","Member","14","3","9.51","2.1543"
"29","2","Member","17","3","6.25","2.6320"
"29","2","Member","18","3","8.83","1.6818"
"29","3","Anchor","5","2","9.61","0.0000"
"29","3","Member","7","2","7.64","0.9468"
"29","3","Member","8","2","6.40","2.8332"
"32","1","Anchor","15","3","10.94","0.0000"
"32","1","Member","14","3","9.41","1.3702"
"32","1","Member","18","3","10.26","1.5050"
"32","1","Member","17","3","6.64","1.7850"
"32","2","Anchor","12","1","9.75","0.0000"
"32","2","Member","13","1","6.20","2.3100"
"32","2","Member","9","1","8.93","1.4035"
"32","2","Member","6","1","7.52","2.0125"
"32","3","Anchor","5","2","8.92","0.0000"
"32","3","Member","8","2","8.00","1.7867"
"32","3","Member","7","2","7.55","1.2023"
"30","1","Anchor","5","2","11.17","0.0000"
"30","1","Member","7","2","9.03","2.0440"
"30","1","Member","8","2","8.90","1.9652"
"30","2","Anchor","12","1","10.30","0.0000"
"30","2","Member","9","1","8.38","2.0107"
"30","2","Member","6","1","9.63","1.0465"
"30","3","Anchor","15","3","9.58","0.0000"
"30","3","Member","17","3","8.02","2.7352"
"30","3","Member","18","3","7.09","1.3160"
"30","3","Member","14","3","9.24","2.4028"
"31","1","Anchor","5","2","11.64","0.0000"
"31","1","Member","8","2","10.64","1.9547"
"31","1","Member","7","2","8.13","1.4525"
"31","2","Anchor","15","3","10.65","0.0000"
"31","2","Member","18","3","9.31","1.3965"
"31","2","Member","17","3","9.39","1.0413"
"31","2","Member","14","3","7.83","1.1305"
"31","3","Anchor","12","1","9.61","0.0000"
"31","3","Member","9","1","8.35","1.1970"
"31","3","Member","13","1","7.92","1.0850"
"31","3","Member","6","1","8.41","2.4062"
"33","1","Anchor","15","3","11.01","0.0000"
"33","1","Member","17","3","6.40","2.1665"
"33","1","Member","14","3","9.50","1.0973"
"33","1","Member","18","3","8.43","1.0045"
"33","2","Anchor","5","2","9.82","0.0000"
"33","2","Member","8","2","9.21","2.5935"
"33","2","Member","7","2","7.03","2.8192"
"33","3","Anchor","12","1","8.79","0.0000"
"33","3","Member","13","1","7.65","2.5025"
"33","3","Member","6","1","7.69","1.1095"
"33","3","Member","9","1","7.26","1.7728"
"34","1","Anchor","12","1","11.55","0.0000"
"34","1","Member","13","1","7.84","0.8505"
"34","1","Member","9","1","9.95","2.8245"
"34","1","Member","6","1","9.66","1.4963"
"34","2","Anchor","5","2","10.42","0.0000"
"34","2","Member","7","2","9.59","1.6345"
"34","2","Member","8","2","7.92","1.6223"
"34","3","Anchor","15","3","9.52","0.0000"
"34","3","Member","14","3","7.50","2.3432"
"34","3","Member","17","3","8.37","1.4122"
"34","3","Member","18","3","6.12","2.5533"
"35","1","Anchor","12","1","11.04","0.0000"
